teaching_frame,source_frame,time_s,track_id,x_px,y_px,vx_source,vy_source
0,2701,0.0,105561,256.848659,368.03065100000003,0.33347227308690314,0.9427599074431697
0,2701,0.0,105745,1029.961832,267.77862600000003,0.8742609171596667,0.48545633040175534
0,2701,0.0,106109,288.003854,419.70905600000003,0.16350063966245476,0.9865432280594542
0,2701,0.0,106237,718.934272,567.840376,-0.8834905193231981,0.4684490391344885
0,2701,0.0,106357,969.208122,328.187817,0.900708452444049,-0.43442408277608924
0,2701,0.0,106743,820.012821,382.32906,0.8320501964495384,0.5547003430576589
0,2701,0.0,106915,443.57197,470.47916699999996,-0.7048339197653942,0.7093723602933438
0,2701,0.0,106928,227.270325,417.837398,0.09846461756124546,0.9951405524289108
0,2701,0.0,106974,192.208333,277.08854199999996,-0.6702536298464028,0.7421321120108744
0,2701,0.0,107077,962.548023,66.47740099999999,-0.9238322014056737,-0.3827976797813
0,2701,0.0,107158,1029.501873,371.93633,0.6716363346664271,0.7408809850143591
0,2701,0.0,107165,392.678571,445.74285699999996,-0.7076401991086948,0.7065729605677017
0,2701,0.0,107196,317.099834,322.57404299999996,-0.5504724563918312,0.834853325293697
0,2701,0.0,107216,232.553741,131.26802699999996,0.7930586650291044,-0.6091452649592336
0,2701,0.0,107230,487.297143,535.691429,-0.22903877520544594,0.9734172997499013
0,2701,0.0,107295,320.60307,241.934211,-0.6522135033548528,-0.7580353197850277
0,2701,0.0,107316,1072.242009,328.09589000000005,0.9991230273579607,0.04187094700462304
0,2701,0.0,107345,974.234568,443.925926,0.12894506011651055,0.9916517390049541
0,2701,0.0,107355,328.070621,403.46327699999995,-0.7331054884942289,0.6801149481812894
0,2701,0.0,107358,216.802536,61.72101399999997,0.9236852609844373,0.3831521090116979
0,2701,0.0,107366,311.164583,536.566667,-0.1533660821391249,0.9881694413658496
0,2701,0.0,107403,642.955975,259.72326999999996,-0.1875464511227369,-0.9822557348630074
0,2701,0.0,107409,897.477218,408.839329,0.7001672628082821,0.7139788540927231
0,2701,0.0,107425,289.732535,355.353293,0.9823638348816229,-0.1869793997120307
0,2701,0.0,107439,1016.514286,104.19047599999999,-0.8144668715697944,-0.5802100611979356
0,2701,0.0,107441,1118.199779,362.64348800000005,0.9617630812616831,0.27388277697225377
0,2701,0.0,107447,470.490196,398.01357499999995,-0.5213586578941464,0.8533376528894143
0,2701,0.0,107452,370.494424,298.12267699999995,-0.5420067563671697,0.8403741286191166
0,2701,0.0,107461,541.767956,291.90423599999997,-0.864794246077912,0.5021263904143415
0,2701,0.0,107477,408.087879,499.892424,-0.6838738330110483,0.7296002881871531
0,2701,0.0,107484,964.700461,364.06298000000004,-0.20568413640219524,0.9786184322975339
0,2701,0.0,107504,408.128913,397.268877,-0.9084334553472428,0.41802949322490274
0,2701,0.0,107508,976.367816,91.20459800000003,0.5417808212477924,0.8405198044829566
0,2701,0.0,107511,227.687601,225.15861500000005,0.2086240999282511,0.9779959023069204
0,2701,0.0,107530,615.495812,209.95142399999997,0.27046216200353645,-0.9627306055820459
0,2701,0.0,107541,539.96729,275.984424,0.14259656418438368,-0.9897808948867466
0,2701,0.0,107555,849.569264,532.229437,0.6938655880705199,0.7201045380301055
0,2701,0.0,107557,505.118713,261.724561,-0.8950209792248717,0.4460240427906906
0,2701,0.0,107558,577.653747,383.891473,0.9602468004099884,-0.279152435601733
0,2701,0.0,107559,451.525862,321.517241,-0.9194364348867782,-0.3932386580725389
0,2701,0.0,107560,326.806268,66.40740700000003,-0.9210709699924324,-0.38939474603183816
0,2701,0.0,107583,984.264,154.29866700000002,0.3649466994564407,-0.9310284133987803
0,2701,0.0,107584,924.276119,279.78109500000005,0.8331374335922208,0.5530660148186363
0,2701,0.0,107586,534.715499,325.394904,-0.8956455301569468,-0.44476857387846297
